endpoint,name,methods,initial_outcome,effective_outcome,status_code,error_type,records,duration_seconds,note
/db/SKEW,Node Local Axis,"DELETE,GET,POST,PUT",success,success,,,0,0.1001,
/db/SLAN,Traffic Surface Lanes,"DELETE,GET,POST,PUT",success,success,,,0,0.0896,
/db/SLANch,Traffic Surface Lanes – China,"DELETE,GET,POST,PUT",success,success,,,0,0.0988,
/db/SLANop,Traffic Surface Lanes – Moving Load Optimization,"DELETE,GET,POST,PUT",success,success,,,0,0.0937,
/db/SMCT,Settlement Analysis Control Data,"DELETE,GET,POST,PUT",success,success,,,0,0.1011,
/db/SMLC,Settlement Load Cases,"DELETE,GET,POST,PUT",success,success,,,0,0.0952,
/db/SMPT,Settlement Group,"DELETE,GET,POST,PUT",success,success,,,0,0.0882,
/db/SPAN,Span Information,"DELETE,GET,POST,PUT",success,success,,,0,0.0868,
/db/SPFC,Response Spectrum Functions,"DELETE,GET,POST,PUT",success,success,,,0,0.0909,
/db/SPLC,Response Spectrum Load Cases,"DELETE,GET,POST,PUT",success,success,,,0,0.0878,
/db/SSEIS,Static Seismic Load,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0898,GET and /info both returned 404.
/db/SSPS,Surface Spring,"DELETE,GET,POST,PUT",success,success,,,0,0.0777,
/db/STAG,Define Construction Stage,"DELETE,GET,POST,PUT",success,success,,,0,0.0816,
/db/STBK,Set-Back Loads for Nonlinear Construction Stage,"DELETE,GET,POST,PUT",success,success,,,0,0.0903,
/db/STCT,Construction Stage Analysis Control Data,"DELETE,GET,POST,PUT",success,success,,,0,0.0901,
/db/STCT-M1,Construction Stage Analysis Control Data (Hyper-S),"DELETE,GET,PUT",success,success,,,0,0.0906,
/db/STLD,Static Load Cases,"DELETE,GET,POST,PUT",success,success,,,1,0.0836,
/db/STMP,System Temperature,"DELETE,GET,POST,PUT",success,success,,,0,0.1027,
/db/STOR,Story Data,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0899,GET and /info both returned 404.
/db/STRPSSM,Section Manager - Stress Points,"DELETE,GET,POST,PUT",success,success,,,0,0.0859,
/db/STYP,Structure Type,"GET,PUT",success,success,,,1,0.0909,
/db/SWIND,Static Wind Load,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0916,GET and /info both returned 404.
/db/TDCS,Tendon Location for Composite Section,"DELETE,GET,POST,PUT",success,success,,,0,0.0985,
/db/TDGR,Tendon Group,"DELETE,GET,POST,PUT",success,success,,,0,0.0895,
/db/TDME,Time Dependent Material - Compressive Strength,"DELETE,GET,POST,PUT",success,success,,,0,0.1244,
/db/TDMF,Time Dependent Material - User Defined,"DELETE,GET,POST,PUT",success,success,,,0,0.1091,
/db/TDMT,Time Dependent Material - Creep/Shrinkage,"DELETE,GET,POST,PUT",success,success,,,0,0.0902,
/db/TDNA,Tendon Profile,"DELETE,GET,POST,PUT",success,success,,,0,0.0982,
/db/TDNT,Tendon Property,"DELETE,GET,POST,PUT",success,success,,,0,0.2419,
/db/TDPL,Tendon Prestress,"DELETE,GET,POST,PUT",success,success,,,0,0.0614,
/db/THFC,Time History Functions,"DELETE,GET,POST,PUT",success,success,,,0,0.1156,
/db/THGA,Ground Acceleration,"DELETE,GET,POST,PUT",success,success,,,0,0.0935,
/db/THGC,Time History Global Control,"DELETE,GET,POST,PUT",success,success,,,0,0.1016,
/db/THGC-M1,Time History Global Control (Hyper-S),"DELETE,GET,PUT",success,success,,,0,0.0987,
/db/THIK,Thickness,"DELETE,GET,POST,PUT",success,success,,,0,0.1018,
/db/THIS,Time History Load Cases,"DELETE,GET,POST,PUT",success,success,,,0,0.0896,
/db/THIS-M1,Time History Load Cases (Hyper-S),"DELETE,GET,POST,PUT",success,success,,,0,0.1015,
/db/THMS,Multiple Support Excitation,"DELETE,GET,POST,PUT",success,success,,,0,0.0999,
/db/THNL,Dynamic Nodal Loads,"DELETE,GET,POST,PUT",success,success,,,0,0.1022,
/db/THOO-M1,Time History Output Option (Hyper-S),"DELETE,GET,PUT",success,success,,,0,0.0956,
/db/THSL,Time Varying Static Loads,"DELETE,GET,POST,PUT",success,success,,,0,0.0899,
/db/TMAT,Time Dependent Material Link,"DELETE,GET,POST,PUT",success,success,,,0,0.0928,
/db/TMLD,Time Loads for Construction Stage,"DELETE,GET,POST,PUT",success,success,,,0,0.0949,
/db/TSGR,Tapered Group,"DELETE,GET,POST,PUT",success,success,,,0,0.0947,
/db/ULFC,Cable Control - Unknown Load Factor Constraints,"DELETE,GET,POST,PUT",success,success,,,0,0.0993,
/db/UNIT,Unit System,"GET,PUT",success,success,,,1,0.0936,
/db/VBEM,Virtual Beam,"DELETE,GET,POST,PUT",success,success,,,0,0.097,
/db/VSEC,Virtual Section,"DELETE,GET,POST,PUT",success,success,,,0,0.1065,
/db/WMAK,Modify Wall Mark,"DELETE,GET,POST,PUT",success,success,,,0,0.1063,
/db/WVLD,Wave Loads,"DELETE,GET,POST,PUT",success,success,,,0,0.1062,
